name,sku,category_name,price,description
"Пробковый сбор (напитки)","CORK_FEE_DRINKS","Напитки",10.00,"ВСЕГО 10.00 РУБЛЕЙ ЗА ОДНУ БУТЫЛКУ ВАШЕГО БЕЗАЛКОГОЛЬНОГО НАПИТКА И МОЖЕТЕ НАСЛАЖДАТЬСЯ ПРИНЕСЁННЫМИ С СОБОЙ НАПИТКАМИ. В услугу входят - БОКАЛЫ ПОД ВАШИ НАПИТКИ, ЛЕД ПО НЕБХОДИМОСТИ, УБОРКА СТОЛИКА."
"Чай Rich Зеленый холодный 0.5л","RICH_GREEN_TEA_05","Холодный Чай",3.60,"Холодный, освежающий напиток объем 0.5л"
"Бамбл-Bee","BUMBLE_BEE","Чай Кофе",8.50,"Эспрессо, апельсиновый сок, сироп карамель"
"Айс Латте","ICE_LATTE","Чай Кофе",8.50,"Эспрессо, молоко, сироп на выбор"
"Клубничный Айспрессо","STRAWBERRY_AESPRESSO","Чай Кофе",8.00,"Эспрессо, сироп клубника, вода газированная, сахарный сироп"
"Раф с сиропом на выбор","RAF_SYRUP","Чай Кофе",8.50,"Раф – это взбитая в капучинаторе смесь из чёрного кофе и сливок, приправленная сиропом."
"Латте","LATTE","Чай Кофе",6.50,"Большинство людей всей душой любят напиток не только за его большой объем, но и не высокую крепость."
"Капучино","CAPPUCCINO","Чай Кофе",6.00,"Кофейный напиток итальянской кухни на основе эспрессо с добавлением в него подогретого насыщенного кислородом молока."
"Американо","AMERICANO","Чай Кофе",5.00,"Эспрессо, разбавленный горячей водой."
"Эспрессо","ESPRESSO","Чай Кофе",4.80,"Чёрный кофе, приготовленный в кофемашине."
"Чай Да Хун Пао (Большой красный халат) 750мл","DA_HUNG_PAO_750","Чай Кофе",14.00,"Легендарный улун из гор Уишань. Аромат многогранный: ноты цветущей сливы, древесные оттенки."
"Чай Зеленый (Те Гуань Инь) 750мл","TE_GUAN_YIN_750","Чай Кофе",14.00,"Жемчужина китайских улунов. Аромат: цветущей сирени, орхидеи и свежих фруктов."
"Кенийский чёрный чай 750мл","KENYA_TEA_750","Чай Кофе",14.00,"Элитный чёрный чай из высокогорных плантаций Кении."
"Эспрессо-Тоник","ESPRESSO_TONIC","Чай Кофе",8.00,"Эспрессо, тоник"
"Бамбл ананас + малина","BUMBLE_PINEAPPLE_RASPBERRY","Чай Кофе",8.50,"Лед, сироп малина, сок ананасовый, эспрессо. Выход 350мл"
"Айс латте малина + мята","ICE_LATTE_RASPBERRY_MINT","Чай Кофе",8.50,"Лед, сироп малина, сироп мята, молоко, эспрессо. Выход 350мл"
"Апельсиновый эспрессо тоник","ORANGE_ESPRESSO_TONIC","Чай Кофе",8.50,"Лед, швепс тоник, апельсиновый сок, эспрессо. Выход 350мл"
"Флэт уайт","FLAT_WHITE","Чай Кофе",9.00,"2й эспрессо и молоко выход 280мл"
"Айс латте с синим апельсином","ICE_LATTE_BLUE_ORANGE","Чай Кофе",8.50,""
"Глентвейн (Напиток Чайный Фруктовый) 750мл","GLINTWEIN_750","Чай Кофе",14.00,"Безалкогольный чайный напиток по мотивам классического европейского глинтвейна."
"Лонг Токио Айс Ти 500мл","LONG_TOKYO_500","Коктейли Алкогольные",17.00,"Лед, Джин, текила, ром, водка, сироп дыня, сахарный сироп, спрайт. Выход 550мл"
"Лонг Айленд Айс Ти 500мл","LONG_ISLAND_500","Коктейли Алкогольные",17.00,"Лед, Белый ром, Текила, Водка, Джин, Ликер Трипл Сек, Кола, Лимон. Выход 550мл"
"Лонг Бич Айсс Ти 500мл","LONG_BEACH_500","Коктейли Алкогольные",17.00,"Лед, Белый ром, Текила, Водка, Джин, Клюквенный морс, Лимон. Выход 550мл"
"Лонг Adios MF 500мл","LONG_ADIOS_500","Коктейли Алкогольные",17.00,"Лед, Джин, текила, ром, водка, сахарный сироп, блю кюросао, спрайт, лимон. Выход 550мл"
"Секс на пляже","SEX_ON_BEACH","Коктейли Алкогольные",12.00,"Лед, Водка, трипл-сек, морс, ананасовый сок, апельсин. Выход 350мл"
"Голубая Лагуна","BLUE_LAGOON","Коктейли Алкогольные",10.00,"Лед, Водка, лимонный сок, блю кюрасао, спрайт, лимон. Выход 350мл"
"Пина Колада","PINA_COLADA","Коктейли Алкогольные",12.00,"Лед, Ром, сливки, ананасовый сок, кокосовый сироп. Выход 350мл"
"Текила Санрайз","TEQUILA_SUNRISE","Коктейли Алкогольные",12.00,"Лед, Текила, гренадин, сок апельсиновый, апельсин. Выход 350мл"
"Виски-Кола","WHISKEY_COLA","Коктейли Алкогольные",10.90,"Гарантирует не только приятные впечатления и равномерно опьяняющий эффект. Выход 250мл"
"Апероль Мартини","APEROL_MARTINI","Коктейли Алкогольные",14.50,"Апероль, мартини, швепс слайс фрукта. Выход 400мл"
"Апероль Апельсин","APEROL_ORANGE","Коктейли Алкогольные",13.00,"Аперооль, сок апельсина, слайс фрукта. Выход 400мл"
"Апероль спритц","APEROL_SPRITZ","Коктейли Алкогольные",13.50,"Апероль, сухое белое вино, газированая вода, слайс фрукта. Выход 400мл"
